0
Jump in the line
19
225000
0000 | 1 | 0000
5000 | 2 | 0000
10000 | 0 | 0000
11000 | 1 | 0000
13000 | 2 | 0000
15000 | 1 | 0000
16000 | 2 | 0000
16000 | 1 | 0000
17000 | 2 | 0000
17000 | 0 | 0000
18000 | 1 | 0000
19000 | 2 | 0000
19000 | 1 | 0000
20000 | 2 | 0000
21000 | 1 | 0000
22000 | 3 | 0000
20000 | 1 | 0000
21000 | 3 | 0000
22000 | 2 | 0000
1
Mtrance
14
258000
0000 | 1 | 0000
5000 | 2 | 0000
10000 | 0 | 0000
11000 | 1 | 0000
13000 | 2 | 0000
15000 | 1 | 0000
16000 | 2 | 0000
16000 | 1 | 0000
17000 | 2 | 0000
17000 | 0 | 0000
18000 | 1 | 0000
19000 | 2 | 0000
19000 | 1 | 0000
20000 | 2 | 0000
0
Miracle
14
218000
0000 | 1 | 0000
5000 | 2 | 0000
10000 | 0 | 0000
11000 | 1 | 0000
13000 | 2 | 0000
15000 | 1 | 0000
16000 | 2 | 0000
16000 | 1 | 0000
17000 | 2 | 0000
17000 | 0 | 0000
18000 | 1 | 0000
19000 | 2 | 0000
19000 | 1 | 0000
20000 | 2 | 0000
1
Shojo S
186
191000
0000 | 0 | 0000
1000 | 1 | 0000
2000 | 2 | 0000
3000 | 0 | 0000
4000 | 1 | 0000
5000 | 2 | 0000
6000 | 1 | 0000
7000 | 1 | 0000
8000 | 1 | 0000
9000 | 1 | 0000
10000 | 0 | 0000
11000 | 0 | 0000
12000 | 0 | 0000
13000 | 0 | 0000
14000 | 2 | 0000
15000 | 2 | 0000
16000 | 2 | 0000
17000 | 2 | 0000
18000 | 1 | 0000
19000 | 0 | 0000
20000 | 1 | 0000
21000 | 0 | 0000
22000 | 2 | 0000
23000 | 0 | 0000
24000 | 2 | 0000
25000 | 0 | 0000
26000 | 1 | 0000
27000 | 2 | 0000
28000 | 1 | 0000
29000 | 2 | 0000
30000 | 1 | 0000
31000 | 1 | 0000
32000 | 1 | 0000
33000 | 1 | 0000
34000 | 0 | 0000
35000 | 0 | 0000
36000 | 0 | 0000
37000 | 0 | 0000
38000 | 2 | 0000
39000 | 2 | 0000
40000 | 2 | 0000
41000 | 2 | 0000
42000 | 0 | 0000
43000 | 1 | 0000
44000 | 2 | 0000
45000 | 0 | 0000
46000 | 1 | 0000
47000 | 2 | 0000
48000 | 1 | 0000
49000 | 1 | 0000
50000 | 1 | 0000
51000 | 1 | 0000
52000 | 0 | 0000
53000 | 0 | 0000
54000 | 0 | 0000
55000 | 0 | 0000
56000 | 2 | 0000
57000 | 2 | 0000
58000 | 2 | 0000
59000 | 2 | 0000
60000 | 1 | 0000
61000 | 0 | 0000
62000 | 1 | 0000
63000 | 0 | 0000
64000 | 2 | 0000
65000 | 0 | 0000
66000 | 2 | 0000
67000 | 0 | 0000
68000 | 1 | 0000
69000 | 2 | 0000
70000 | 1 | 0000
71000 | 2 | 0000
72000 | 1 | 0000
73000 | 1 | 0000
74000 | 1 | 0000
75000 | 1 | 0000
76000 | 0 | 0000
77000 | 0 | 0000
78000 | 0 | 0000
79000 | 0 | 0000
80000 | 2 | 0000
81000 | 2 | 0000
82000 | 2 | 0000
83000 | 2 | 0000
84000 | 0 | 0000
85000 | 1 | 0000
86000 | 2 | 0000
87000 | 0 | 0000
88000 | 1 | 0000
89000 | 2 | 0000
90000 | 1 | 0000
91000 | 1 | 0000
92000 | 1 | 0000
93000 | 1 | 0000
94000 | 0 | 0000
95000 | 0 | 0000
96000 | 0 | 0000
97000 | 0 | 0000
98000 | 2 | 0000
99000 | 2 | 0000
100000 | 2 | 0000
101000 | 2 | 0000
102000 | 1 | 0000
103000 | 0 | 0000
104000 | 1 | 0000
105000 | 0 | 0000
106000 | 2 | 0000
107000 | 0 | 0000
